SQUARE INC - A,SQ,343503514.8
ZILLOW GROUP INC - C,Z,172012570.8
PAYPAL HOLDINGS INC,PYPL,170825230.8
TENCENT HOLDINGS LTD-UNS ADR,TCEHY,160712388.76
SILVERGATE CAPITAL CORP-CL A,SI,152090452.54
SEA LTD-ADR,SE,131046877.84
PINTEREST INC- CLASS A,PINS,128789361.48
INTERCONTINENTAL EXCHANGE IN,ICE,127609588.96
SHOPIFY INC - CLASS A,SHOP,125835150.87
MERCADOLIBRE INC,MELI,123709494.0
ADYEN NV,ADYEN,112032107.55
MEITUAN-CLASS B,3690,103388948.6
ALIBABA GROUP HOLDING-SP ADR,BABA,101926029.24
YEAHKA LTD,9923,92845657.67
TWILIO INC - A,TWLO,92225525.66
SNAP INC - A,SNAP,91050956.8
AMAZON.COM INC,AMZN,80794030.0
ZHONGAN ONLINE P&C INSURAN-H,6060,79710672.35
DOCUSIGN INC,DOCU,78634974.88
OPENDOOR TECHNOLOGIES INC,OPEN,78034751.6
Z HOLDINGS CORP,4689,71270798.95
APPLE INC,AAPL,70538322.26
WORKDAY INC-CLASS A,WDAY,69157798.65
FACEBOOK INC-CLASS A,FB,60252792.3
LENDINGTREE INC,TREE UW,60080372.98
SPLUNK INC,SPLK,58208026.98
TELADOC HEALTH INC,TDOC,54158662.5
INTUIT INC,INTU,52793861.15
JD.COM INC-ADR,JD,50243432.0
TCS GROUP HOLDING-GDR REG S,TCS LI,48590762.0
KE HOLDINGS INC,BEKE,43176367.08
BASE INC,4477,42192530.96
GUIDEWIRE SOFTWARE INC,GWRE,41572044.75
SCHWAB (CHARLES) CORP,SCHW,41293007.99
TAIWAN SEMICONDUCTOR-SP ADR,TSM,40280984.6
PINDUODUO INC-ADR,PDD,35703344.0
DISCOVERY LTD,DSY,34572592.87
NVIDIA CORP,NVDA,34716750.5
HDFC BANK LTD-ADR,HDB,34219518.22
LIGHTSPEED POS INC-SUB VOTE,LSPD,31029518.56
LENDINGCLUB CORP,LC,25073837.32
VERISK ANALYTICS INC,VRSK,22277477.36
BILL.COM HOLDINGS INC,BILL,18636251.25
DRAFTKINGS INC - CL A,DKNG,17647156.68
MARKETAXESS HOLDINGS INC,MKTX,14209493.76
JSC KASPI.KZ GDR-REG S,KSPI,4412686.2
