TESLA INC,TSLA,2132665212.6
SQUARE INC - A,SQ,1341207687.68
ROKU INC,ROKU,1273385321.56
TELADOC HEALTH INC,TDOC,1216216404.0
BAIDU INC - SPON ADR,BIDU,772607647.08
ZILLOW GROUP INC - C,Z,727530597.76
SPOTIFY TECHNOLOGY SA,SPOT,709312284.9
SHOPIFY INC - CLASS A,SHOP,692113652.43
ZOOM VIDEO COMMUNICATIONS-A,ZM,652860913.72
CRISPR THERAPEUTICS AG,CRSP,652567048.35
INVITAE CORP,NVTA,558790171.26
EXACT SCIENCES CORP,EXAS,558111810.64
TWILIO INC - A,TWLO,464821757.44
UNITY SOFTWARE INC,U,452863416.98
DOCUSIGN INC,DOCU,427400992.44
PURE STORAGE INC - CLASS A,PSTG,413196400.5
PROTO LABS INC,PRLB,383361067.35
PAYPAL HOLDINGS INC,PYPL,377002408.3
IOVANCE BIOTHERAPEUTICS INC,IOVA,359073161.44
TENCENT HOLDINGS LTD-UNS ADR,TCEHY,353566054.25
TWIST BIOSCIENCE CORP,TWST,347797653.55
NINTENDO CO LTD-UNSPONS ADR,NTDOY,327511585.38
INTELLIA THERAPEUTICS INC,NTLA,313657636.38
KE HOLDINGS INC,BEKE,313142631.55
INTERCONTINENTAL EXCHANGE IN,ICE,311760354.99
10X GENOMICS INC-CLASS A,TXG,301850248.38
IRIDIUM COMMUNICATIONS INC,IRDM,273434669.3
2U INC,TWOU,268424735.0
PAGERDUTY INC,PD,266260865.6
LENDINGTREE INC,TREE UW,262460227.14
EDITAS MEDICINE INC,EDIT,259790308.17
SEA LTD-ADR,SE,260185048.96
PACCAR INC,PCAR,247743956.25
PALANTIR TECHNOLOGIES INC-A,PLTR,245525532.6
TWITTER INC,TWTR,235909840.4
NOVARTIS AG-SPONSORED ADR,NVS,221925352.54
VERACYTE INC,VCYT,215667891.71
SYNOPSYS INC,SNPS,204996536.6
PACIFIC BIOSCIENCES OF CALIF,PACB,199164758.73
REGENERON PHARMACEUTICALS,REGN,189065995.55
MATERIALISE NV-ADR,MTLS,181110671.47
HUYA INC-ADR,HUYA,168804298.66
FATE THERAPEUTICS INC,FATE,158637958.85
BEAM THERAPEUTICS INC,BEAM,154105043.4
SERES THERAPEUTICS INC,MCRB,143644965.72
STRATASYS LTD,SSYS,143821468.82
TERADYNE INC,TER,124648059.6
NANOSTRING TECHNOLOGIES INC,NSTG,115893400.69
CERUS CORP,CERS,110817423.6
BERKELEY LIGHTS INC,BLI,82835523.24
COMPUGEN LTD,CGEN,78004338.51
SYROS PHARMACEUTICALS INC,SYRS,37642976.26
TAIWAN SEMICONDUCTOR-SP ADR,TSM,6523320.8
ORGANOVO HOLDINGS INC,ONVO,1330258.08
