TESLA INC,TSLA,294714173.0
TRIMBLE INC,TRMB,165006876.36
BAIDU INC - SPON ADR,BIDU,160528026.12
DEERE & CO,DE,160564944.6
JD.COM INC-ADR,JD,145335131.04
ALPHABET INC-CL C,GOOG,126105791.0
KRATOS DEFENSE & SECURITY,KTOS,116785249.56
TERADYNE INC,TER,116461526.6
KOMATSU LTD -SPONS ADR,KMTUY,107708167.5
NXP SEMICONDUCTORS NV,NXPI,106305741.0
CATERPILLAR INC,CAT,96238176.66
LOCKHEED MARTIN CORP,LMT,90728728.2
TELEDYNE TECHNOLOGIES INC,TDY,81278513.81
TAIWAN SEMICONDUCTOR-SP ADR,TSM,73381857.28
NVIDIA CORP,NVDA,72086364.77
IRIDIUM COMMUNICATIONS INC,IRDM,71219024.88
MAGNA INTERNATIONAL INC,MGA,61859191.0
WORKHORSE GROUP INC,WKHS,59544366.0
BYD CO LTD-UNSPONSORED ADR,BYDDY,58296981.33
AEROVIRONMENT INC,AVAV,57937663.5
NIU TECHNOLOGIES-SPONS ADR,NIU,56570777.52
SYNOPSYS INC,SNPS,55390055.37
MATERIALISE NV-ADR,MTLS,54970209.25
NANO DIMENSION LTD - ADR,NNDM,53901643.95
INTUITIVE SURGICAL INC,ISRG,53379051.3
VIRGIN GALACTIC HOLDINGS INC,SPCE,44179215.15
RAVEN INDUSTRIES INC,RAVN,43339065.6
TENCENT HOLDINGS LTD-UNS ADR,TCEHY,40326251.4
2U INC,TWOU,36512230.37
PACCAR INC,PCAR,35245194.24
ELBIT SYSTEMS LTD,ESLT,34949084.1
ALIBABA GROUP HOLDING-SP ADR,BABA,31967597.11
ANSYS INC,ANSS,30134668.8
EXPERIENCE INVESTMENT CORP-A,EXPC,29375741.43
STRATASYS LTD,SSYS,28657498.6
PROTO LABS INC,PRLB,28108283.49
XILINX INC,XLNX,26184336.09
EXONE CO/THE,XONE,24219053.43
VUZIX CORP,VUZI,19241488.64
AUTODESK INC,ADSK,18525907.6
UNITY SOFTWARE INC,U,15064640.5
ONE - CLASS A,AONE,15230797.65
ATLAS CREST INVESTMENT COR-A,ACIC,14974768.0
AMAZON.COM INC,AMZN,3503964.65
ORGANOVO HOLDINGS INC,ONVO,1798656.99
ROCKWELL AUTOMATION INC,ROK,1132307.17
APPLE INC,AAPL,503024.28
SPLUNK INC,SPLK,153305.1
FLIR SYSTEMS INC,FLIR,293470.5
