TESLA INC,TSLA,641156786.0
GRAYSCALE BITCOIN TRUST BTC,GBTC,362976450.4
SQUARE INC - A,SQ,339141600.0
TELADOC HEALTH INC,TDOC,267489966.05
ROKU INC,ROKU,262355665.55
SHOPIFY INC - CLASS A,SHOP,238267135.25
SPOTIFY TECHNOLOGY SA,SPOT,236184919.08
TWITTER INC,TWTR,193544108.52
INTERCONTINENTAL EXCHANGE IN,ICE,159103265.42
ZOOM VIDEO COMMUNICATIONS-A,ZM,149675794.33
PAYPAL HOLDINGS INC,PYPL,147660057.27
NETFLIX INC,NFLX,135725442.93
ZILLOW GROUP INC - C,Z,136011664.26
JD.COM INC-ADR,JD,135501232.24
TWILIO INC - A,TWLO,128549857.61
OPENDOOR TECHNOLOGIES INC,OPEN,125684746.46
TENCENT HOLDINGS LTD-UNS ADR,TCEHY,125513152.8
UNITY SOFTWARE INC,U,120228115.0
PALANTIR TECHNOLOGIES INC-A,PLTR,117362191.8
SEA LTD-ADR,SE,116202515.65
BAIDU INC - SPON ADR,BIDU,113007557.04
TRADE DESK INC/THE -CLASS A,TTD,108354750.36
AGORA INC-ADR,API,106229821.76
DOCUSIGN INC,DOCU,100627961.64
HUYA INC-ADR,HUYA,97688666.88
PURE STORAGE INC - CLASS A,PSTG,94314621.96
FASTLY INC - CLASS A,FSLY,89237828.0
KE HOLDINGS INC,BEKE,84212419.72
DRAFTKINGS INC - CL A,DKNG,82835813.5
ADYEN NV-UNSPON ADR,ADYEY,77240384.0
NINTENDO CO LTD-UNSPONS ADR,NTDOY,77422883.02
ADOBE INC,ADBE,73122004.8
LENDINGTREE INC,TREE UW,71173486.67
PINTEREST INC- CLASS A,PINS,69495378.96
PELOTON INTERACTIVE INC-A,PTON,69593599.1
SILVERGATE CAPITAL CORP-CL A,SI,69496818.27
SNAP INC - A,SNAP,68832791.37
HUBSPOT INC,HUBS,69067591.21
VERACYTE INC,VCYT,65361427.89
SKILLZ INC,SKLZ,64852769.25
FACEBOOK INC-CLASS A,FB,65136984.99
PAGERDUTY INC,PD,65240093.76
ATLASSIAN CORP PLC-CLASS A,TEAM,63929622.22
MERCADOLIBRE INC,MELI,63884932.38
SYNOPSYS INC,SNPS,63869870.76
CROWDSTRIKE HOLDINGS INC - A,CRWD,60251301.25
NVIDIA CORP,NVDA,59094968.82
CLOUDFLARE INC - CLASS A,NET,58402731.99
2U INC,TWOU,57526851.8
OKTA INC,OKTA,49726507.35
LENDINGCLUB CORP,LC,44867833.22
NANO DIMENSION LTD - ADR,NNDM,44954443.65
TAIWAN SEMICONDUCTOR-SP ADR,TSM,1037560.51
