AMZN,3113.59,1626.03,3552.25,4000.0,5200.0,94.88
GOOGL,2100.54,1008.87,2145.14,2360.0,3000.0,40.25
MELI,1570.78,422.22,2020.0,1975.0,2500.0,-2140.0
SHOP,1142.24,305.3,1499.75,1500.0,1900.0,26.4
TSLA,699.6,70.102,900.4,727.5,1240.0,-22.33
TTD,756.5,136.0,972.8,931.0,1074.0,97.34
NFLX,523.06,290.25,593.29,650.0,840.0,-14.39
NVDA,519.74,180.68,614.9,650.0,800.0,10.32
ASML,544.4,191.25,608.71,610.0,700.0,5.9
ROKU,363.34,58.22,486.72,500.0,650.0,1080.0
ZM,355.17,102.0,588.84,488.0,610.0,54.43
ZBRA,480.75,150.06,516.79,515.0,600.0,17.37
TWLO,374.25,68.056,457.3,510.0,550.0,157.14
BIDU,272.38,82.0,354.82,357.0,449.87,19.31
BABA,240.8,169.95,319.32,325.9,420.88,5.61
FB,273.88,137.1,304.67,345.3,418.0,20.5
SQ,241.72,32.33,283.19,271.0,380.0,33.33
PYPL,253.83,82.07,309.14,312.0,375.0,8.0
FVRR,245.87,20.42,336.0,334.0,350.0,0.0
TDOC,198.77,102.01,308.0,266.0,330.0,-1179.17
SE,236.79,35.61,285.0,300.0,330.0,-61.11
MSFT,237.13,132.52,246.13,280.0,315.0,23.78
BA,252.0,89.0,256.65,237.5,306.0,-132.78
DOCU,225.22,65.61,290.23,280.0,300.0,68.18
CRWD,205.8,31.95,251.28,240.0,295.0,0.0
ETSY,220.84,29.95,251.86,235.0,270.0,83.05
Z,157.26,20.04,208.11,215.0,250.0,51.85
FUTU,160.51,8.16,204.25,130.12,246.73,150.0
PDD,162.4,30.2,212.6,180.4,246.5,129.41
ABNB,197.87,121.5,219.94,180.0,240.0,-18.34
APPN,173.92,29.07,260.0,137.5,235.0,82.35
DIS,196.75,79.07,203.02,215.0,230.0,178.05
BAND,130.38,53.583,198.605,203.0,227.0,225.0
AI,86.47,77.0,183.9,140.0,195.0,18.75
U,106.6,65.11,174.94,144.0,175.0,28.57
AAPL,121.96,53.1525,145.09,157.0,175.0,19.15
JD,90.01,32.7,108.29,108.97,169.95,21.05
AMD,81.23,36.75,99.23,110.0,161.9,10.64
LMND,105.88,44.11,188.3,101.0,159.0,6.25
FLGT,102.29,6.7,189.89,89.5,140.0,53.09
ATVI,92.94,50.51,104.53,115.0,126.0,2.54
CHGG,89.18,25.89,115.21,120.0,125.0,12.24
TTGT,84.27,16.82,101.12,111.0,115.0,6.98
FSLY,75.44,10.63,136.5,90.0,110.0,10.0
PFSI,65.96,13.14,70.0,85.0,109.0,0.84
PINS,71.88,10.1,89.9,93.0,107.5,34.37
NET,76.61,15.05,95.77,101.0,105.0,33.33
CROX,82.56,8.4,84.09,94.0,104.0,35.9
SNAP,59.62,7.89,73.59,79.0,100.0,28.57
YETI,70.02,15.28,80.89,83.0,100.0,17.46
TWTR,68.46,20.0,80.75,70.0,95.0,22.58
NIO,46.03,2.11,66.99,64.39,90.85,-128.57
LYFT,62.72,14.562,65.95,68.95,88.0,18.31
GM,56.33,14.33,57.17,64.5,85.0,20.62
INMD,73.92,13.14,77.8,84.0,84.0,25.33
UBER,58.95,13.71,64.05,72.0,82.0,1.82
UPWK,49.18,5.14,63.88,72.0,77.0,120.0
COWN,38.79,5.75,43.17,37.0,71.0,56.31
LUV,58.47,22.47,60.7,58.0,71.0,23.21
XPEV,34.81,17.11,74.49,54.23,69.98,-25.0
NVTA,42.92,7.415,61.59,58.0,65.0,-14.55
PUBM,56.81,22.42,76.958,62.5,64.0,13.33
LI,26.02,14.31,47.7,39.99,59.98,166.67
CRSR,33.86,14.09,51.37,49.0,55.0,15.22
QFIN,31.16,6.37,32.25,27.08,43.12,48.84
OPEN,26.32,10.55,39.24,35.0,42.0,-390.0
WISH,19.11,15.06,32.85,26.5,40.0,-0.33
PLTR,26.73,8.9,45.0,23.5,40.0,200.0
SKLZ,27.78,9.81,46.298,33.0,34.0,-30.0
F,12.81,3.96,13.0594,11.0,14.0,585.71
YALA,23.29,6.26,41.35,11.0,14.0,0.0
AFRM,81.25,70.05,146.9,0.0,0.0,0.0
WOOF,22.16,17.86,31.08,0.0,0.0,0.0
BMBL,69.76,57.53,84.8,0.0,0.0,0.0
